14 May 2022 - 21 May 2022
Date/time;500KVApCIDETpFIME_20220521_163645_5m_STD.P.F. III;500KVApCIDETpFIME_20220521_163645_5m_STD.Minimum P.F. III;500KVApCIDETpFIME_20220521_163645_5m_STD.Maximum P.F. III
5/14/22 9:05:00 PM;0.97;0.96;0.97
5/14/22 9:10:00 PM;0.97;0.96;0.97
5/14/22 9:15:00 PM;0.97;0.97;0.98
5/14/22 9:20:00 PM;0.98;0.97;0.98
5/14/22 9:25:00 PM;0.97;0.97;0.98
5/14/22 9:30:00 PM;0.97;0.97;0.98
5/14/22 9:35:00 PM;0.97;0.97;0.98
5/14/22 9:40:00 PM;0.98;0.97;0.98
5/14/22 9:45:00 PM;0.97;0.97;0.98
5/14/22 9:50:00 PM;0.97;0.96;0.97
5/14/22 9:55:00 PM;0.97;0.97;0.97
5/14/22 10:00:00 PM;0.97;0.97;0.98
5/14/22 10:05:00 PM;0.96;-0.93;0.97
5/14/22 10:10:00 PM;-0.94;-0.93;-0.95
5/14/22 10:15:00 PM;-0.97;-0.94;0.98
5/14/22 10:20:00 PM;-0.97;0.95;-0.98
5/14/22 10:25:00 PM;-0.94;-0.91;-0.98
5/14/22 10:30:00 PM;-0.93;-0.91;-0.95
5/14/22 10:35:00 PM;-0.94;-0.91;-0.98
5/14/22 10:40:00 PM;0.94;0.94;-0.97
5/14/22 10:45:00 PM;0.94;0.92;0.95
5/14/22 10:50:00 PM;0.91;0.91;0.93
5/14/22 10:55:00 PM;0.92;0.91;0.93
5/14/22 11:00:00 PM;0.93;0.91;0.95
5/14/22 11:05:00 PM;0.95;0.94;0.95
5/14/22 11:10:00 PM;0.93;0.90;0.95
5/14/22 11:15:00 PM;0.90;0.90;0.91
5/14/22 11:20:00 PM;0.90;0.90;0.92
5/14/22 11:25:00 PM;0.94;0.91;0.96
5/14/22 11:30:00 PM;0.95;0.95;0.95
5/14/22 11:35:00 PM;0.92;0.90;0.95
5/14/22 11:40:00 PM;0.91;0.90;0.93
5/14/22 11:45:00 PM;0.91;0.91;0.92
5/14/22 11:50:00 PM;0.94;0.91;0.95
5/14/22 11:55:00 PM;0.94;0.94;0.95
5/15/22 12:00:00 AM;0.91;0.89;0.95
5/15/22 12:05:00 AM;0.90;0.90;0.91
5/15/22 12:10:00 AM;0.90;0.90;0.92
5/15/22 12:15:00 AM;0.94;0.90;0.96
5/15/22 12:20:00 AM;0.95;0.95;0.96
5/15/22 12:25:00 AM;0.91;0.90;0.93
5/15/22 12:30:00 AM;0.90;0.89;0.91
5/15/22 12:35:00 AM;0.90;0.89;0.91
5/15/22 12:40:00 AM;0.95;0.90;0.96
5/15/22 12:45:00 AM;0.94;0.91;0.96
5/15/22 12:50:00 AM;0.91;0.90;0.92
5/15/22 12:55:00 AM;0.90;0.90;0.92
5/15/22 1:00:00 AM;0.90;0.90;0.91
5/15/22 1:05:00 AM;0.94;0.89;0.95
5/15/22 1:10:00 AM;0.94;0.94;0.95
5/15/22 1:15:00 AM;0.91;0.91;0.93
5/15/22 1:20:00 AM;0.91;0.91;-0.95
5/15/22 1:25:00 AM;-0.94;-0.92;-0.95
5/15/22 1:30:00 AM;0.94;0.91;-0.96
5/15/22 1:35:00 AM;0.94;0.94;0.95
5/15/22 1:40:00 AM;0.90;0.89;0.94
5/15/22 1:45:00 AM;0.89;0.89;0.91
5/15/22 1:50:00 AM;0.90;0.90;0.92
5/15/22 1:55:00 AM;0.92;0.90;0.95
5/15/22 2:00:00 AM;0.95;0.95;0.96
